Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Score,Seconds
432,3:55.57,Abdelkader CHÉKHÉMANI,18 JUL 1971,FRA,12,Paris (FRA),29 JUL 1998,1130,235.57
433,3:55.58,Matt GIUSTO,25 OCT 1966,USA,9,"Eugene, OR (USA)",26 MAY 1996,1129,235.57999999999998
434,3:55.59,Graham CROUCH,11 JAN 1948,AUS,3,Stockholm (SWE),01 JUL 1974,1129,235.59
435,3:55.60,Dyrol BURLESON,27 APR 1940,USA,3,Compton (GBR),07 JUN 1963,1129,235.6
435,3:55.60,Harald HUDAK,28 JAN 1957,FRG,4,Berlin (GER),26 AUG 1977,1129,235.6
437,3:55.60,Ford PALMER,06 OCT 1990,USA,3,"South Huntington, NY (USA)",31 AUG 2016,1129,235.6
438,3:55.62,Dorian ULREY,11 JUL 1987,USA,5,"Hayward Field, Eugene, OR (USA)",01 JUN 2012,1129,235.62
438,3:55.62,Robert BIWOTT,28 JAN 1996,KEN,9,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1129,235.62
440,3:55.65,Ari PAUNONEN,10 MAR 1958,FIN,3,London (GBR),26 JUN 1977,1129,235.65
441,3:55.66,Andrey ZADOROZHNIY,03 SEP 1973,RUS,7,Bratislava (SVK),09 JUN 1998,1128,235.66
442,3:55.67,Markus HACKSTEINER,18 NOV 1964,SUI,2,Helsinki (FIN),02 JUL 1987,1128,235.67000000000002
442,3:55.67,Azzeddine SEDIKI,21 MAY 1970,MAR,3,Zürich (SUI),17 AUG 1994,1128,235.67000000000002
444,3:55.68,Alan SIMPSON,22 MAY 1940,GBR,3,London (GBR),30 AUG 1965,1128,235.68
444,3:55.68,Peter WIRZ,29 JUL 1960,SUI,5,London (GBR),11 JUL 1986,1128,235.68
446,3:55.71,Anthony FAMIGLIETTI,08 NOV 1978,USA,3,"New York, NY (USA)",03 JUN 2006,1128,235.71
447,3:55.74,Colton JOHNSEN,08 MAY 1998,USA,2f1,"Dempsey Indoor, Seattle, WA (USA)",15 JAN 2022,1127,235.74
448,3:55.75,Scott PETERSEN,14 NOV 1973,AUS,5,Melbourne (AUS),20 FEB 1997,1127,235.75
449,3:55.76,Jean VERSTER,23 APR 1965,RSA,3,Stellenbosch (RSA),12 NOV 1988,1127,235.76
449,3:55.76,Jonathan Kiplimo SAWE,26 NOV 1995,KEN,2f2,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1127,235.76
451,3:55.77,Phil KANE,05 MAR 1955,USA,10,Koblenz (GER),25 AUG 1982,1127,235.77
452,3:55.80,Geoff SMITH,24 OCT 1953,GBR,1,Cwmbran (GBR),15 AUG 1981,1127,235.8
453,3:55.80,Greg WHITELEY,06 JAN 1967,USA,6,"Eugene, OR (USA)",04 JUN 1995,1127,235.8
453,3:55.80,Edwin MARANGA,15 AUG 1971,KEN,3,"Portland, OR (USA)",03 JUN 2001,1127,235.8
455,3:55.81,Sam PARSONS,18 JUN 1994,GER,2f2,"Bill Henry Track, Los Angeles, CA (USA)",09 JUL 2022,1127,235.81
456,3:55.82,Paul DONOVAN,11 JUL 1963,IRL,3,Cork (IRL),03 JUL 1984,1126,235.82
457,3:55.84,Uwe MÖNKEMEYER,22 SEP 1959,FRG,7,Berlin (GER),15 AUG 1986,1126,235.84
457,3:55.84,Neil CADDY,18 MAR 1975,GBR,7,Sheffield (GBR),25 AUG 1996,1126,235.84
457,3:55.84,Joeri JANSEN,28 MAY 1979,BEL,12,Oslo (NOR),29 JUL 2005,1126,235.84
460,3:55.85,Franek HASCHKE,28 MAR 1980,GER,12,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1126,235.85
461,3:55.88,Teófilo BENITO,22 JUL 1966,ESP,6,Jerez de la Frontera (ESP),17 SEP 1991,1126,235.88
462,3:55.89,Rolf GYSIN,29 JAN 1952,SUI,2,Zürich (SUI),09 JUL 1976,1126,235.89
462,3:55.89,Lorenzo LAZZARI,23 AUG 1974,ITA,16,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1126,235.89
462,3:55.89,Nick DAHL,25 AUG 1998,USA,6,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)",11 FEB 2022,1126,235.89
465,3:55.90,Mervyn LINCOLN,22 NOV 1933,AUS,2,Dublin (IRL),06 AUG 1958,1125,235.9
465,3:55.90,Brendan FOSTER,12 JAN 1948,GBR,2,London (GBR),10 JUN 1972,1125,235.9
465,3:55.90,Len HILTON,28 SEP 1947,USA,1,"Bakersfield, CA (USA)",16 JUN 1973,1125,235.9
465,3:55.90,Dave HILL,26 DEC 1952,CAN,5,Berlin (GER),26 AUG 1977,1125,235.9
465,3:55.90,Kevin RYAN,01 FEB 1957,USA,1,Toronto (CAN),19 JUL 1983,1125,235.9
470,3:55.91,Gareth LOUGH,06 JUL 1970,GBR,3,London (GBR),27 AUG 1995,1125,235.91
470,3:55.91,Hassan MEAD,28 AUG 1989,USA,8,"Raleigh, NC (USA)",03 AUG 2018,1125,235.91
472,3:55.94,José Luis CARREIRA,30 MAR 1962,ESP,1,Madrid (ESP),04 JUN 1987,1125,235.94
472,3:55.94,Fabio OLIVO,05 FEB 1966,ITA,5,San Donato Milanese (ITA),30 MAY 1992,1125,235.94
472,3:55.94,Abdihamid NUR,14 OCT 1997,USA,3f6,"Dempsey Indoor, Seattle, WA (USA)",29 JAN 2022,1125,235.94
475,3:55.96,David LEWIS,15 OCT 1961,GBR,3,Oslo (NOR),23 AUG 1983,1125,235.96
475,3:55.96,Stefano MEI,03 FEB 1963,ITA,7,Roma (ITA),01 SEP 1983,1125,235.96
475,3:55.96,Paul CHELIMO,27 OCT 1990,USA,3,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1125,235.96
478,3:55.97,Charlie MARQUARDT,-,USA,9,"Raleigh, NC (USA)",03 AUG 2018,1125,235.97
479,3:56.00,Andre DE HERTOGHE,19 APR 1941,BEL,2,Stockholm (SWE),02 JUL 1968,1124,236.0
479,3:56.00,Fanie VAN ZIJL,07 JUL 1948,RSA,1,"Modesto, CA (USA)",27 MAY 1972,1124,236.0
479,3:56.00,Jim DOUGLAS,09 SEP 1945,GBR,3,London (GBR),10 JUN 1972,1124,236.0
482,3:56.00,Nico YOUNG,27 JUL 2002,USA,4f6,"Dempsey Indoor, Seattle, WA (USA)",29 JAN 2022,1124,236.0
483,3:56.02,Tripp HURT,30 OCT 1992,USA,5,"Memphis, TN (USA)",25 AUG 2018,1124,236.02
484,3:56.03,Stijn BAETEN,03 JUN 1994,BEL,2f2,"Arena Civica, Milano (ITA)",04 SEP 2021,1124,236.03
485,3:56.04,Witold BARAN,29 JUL 1939,POL,1,London (GBR),03 AUG 1964,1124,236.04
485,3:56.04,Mike DOWNES,25 MAY 1954,GBR,11,Koblenz (GER),25 AUG 1982,1124,236.04
487,3:56.05,Graham CRAWFORD,29 DEC 1992,USA,4,"Raleigh, NC (USA)",05 AUG 2016,1124,236.05
488,3:56.09,Mario NEUMANN,07 SEP 1968,GDR,6,"Olympiastadion, Berlin (GER)",17 AUG 1990,1123,236.09
489,3:56.10,Neill DUGGAN,01 SEP 1940,GBR,2,"San Diego, CA (USA)",11 JUN 1966,1123,236.1
489,3:56.10,Sosthenes BITOK,23 MAR 1957,KEN,2,Toronto (CAN),19 JUL 1983,1123,236.1
491,3:56.10,Brian THERIOT,15 FEB 1957,USA,8,Oslo (NOR),21 JUL 1984,1123,236.1
491,3:56.10,Duncan PHILLIPS,07 JUN 1989,USA,2,St. Louis (USA),05 JUN 2014,1123,236.1
493,3:56.11,Spyros CHRISTOPOULOS,16 AUG 1964,GRE,6,San Donato Milanese (ITA),30 MAY 1992,1123,236.11
494,3:56.12,Monde TUTANI,22 FEB 1961,RSA,2,Port Elizabeth (RSA),13 DEC 1986,1123,236.12
494,3:56.12,Stephen PIFER,07 DEC 1984,USA,7f2,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1123,236.12
496,3:56.13,Hamish CHRISTENSEN,01 SEP 1972,NZL,1,Wanganui (NZL),16 JAN 1999,1123,236.13
496,3:56.13,Daniel HERRERA,29 NOV 1992,USA,6f1,"Concord, MA (USA)",01 JUN 2017,1123,236.13
496,3:56.13,Cameron PROCEVIAT,20 SEP 1993,CAN,3f2,"Jack Kemp Stadium, Los Angeles, CA (USA)",09 JUL 2022,1123,236.13
499,3:56.14,Abdelaziz SAHERE,18 SEP 1967,MAR,8,Oslo (NOR),14 JUL 1990,1122,236.14
499,3:56.14,Peter CALLAHAN,01 JUN 1991,BEL,4,Dublin (IRL),22 JUL 2016,1122,236.14
501,3:56.17,Henning GERICKE,23 JUN 1960,RSA,2,Port Elizabeth (RSA),07 MAR 1984,1122,236.17000000000002
502,3:56.18,Antti LOIKKANEN,15 APR 1955,FIN,4,Stockholm (SWE),03 JUL 1978,1122,236.18
502,3:56.18,Michael COE,04 DEC 1987,USA,1,"Berkeley, CA (USA)",25 APR 2009,1122,236.18
502,3:56.18,Brett MEYER,-,USA,4,"Falmouth HS James Kalperis Track, Falmouth, MA (USA)",14 AUG 2021,1122,236.18
505,3:56.19,Emiel PUTTEMANS,08 OCT 1947,BEL,4,Stockholm (SWE),02 JUL 1973,1122,236.19
505,3:56.19,Ian HAMER,18 APR 1965,GBR,1,Cork (IRL),05 JUL 1991,1122,236.19
505,3:56.19,Ángel FARIÑA,21 MAY 1967,ESP,7,Jerez de la Frontera (ESP),17 SEP 1991,1122,236.19
508,3:56.20,Dave WILBORN,17 SEP 1945,USA,3,"Bakersfield, CA (USA)",23 JUN 1967,1122,236.2
508,3:56.20,Knut KVALHEIM,14 JUN 1950,NOR,1,Oslo (NOR),31 JUL 1974,1122,236.2
510,3:56.21,Bob KENNEDY,18 AUG 1970,USA,1,"Eugene, OR (USA)",04 JUN 1994,1122,236.21
510,3:56.21,Cristian SORATOS,26 SEP 1992,USA,1,Mt. Pleasant (USA),14 JUL 2018,1122,236.21
512,3:56.22,Jack SALISBURY,05 JAN 1998,USA,1f3,"UVA Lanningan Field, Charlottesville, VA (USA)",01 MAY 2021,1121,236.22
513,3:56.23,Dick QUAX,1948,NZL,4,Zürich (SUI),09 JUL 1976,1121,236.23
513,3:56.23,Ray WICKSELL,11 APR 1957,USA,2,Auckland (NZL),24 JAN 1981,1121,236.23
513,3:56.23,Youcef ABDI,07 DEC 1977,AUS,8,"Eugene, OR (USA)",24 MAY 2003,1121,236.23
513,3:56.23,Riley MASTERS,05 APR 1990,USA,6,"Memphis, TN (USA)",25 AUG 2018,1121,236.23
517,3:56.24,Gordon JOHNSON,27 SEP 1971,USA,9,"Eugene, OR (USA)",04 JUN 1995,1121,236.24
517,3:56.24,Will GEOGHEGAN,15 JUL 1992,USA,7f1,"Concord, MA (USA)",01 JUN 2017,1121,236.24
517,3:56.24,Colin SAHLMAN,-,USA,13,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1121,236.24
520,3:56.25,Andy DOWNIN,12 MAY 1973,USA,4,"Portland, OR (USA)",03 JUN 2001,1121,236.25
521,3:56.26,Paul-Heinz WELLMANN,31 MAR 1952,FRG,2,"Philadelphia, PA (USA)",04 AUG 1976,1121,236.26
521,3:56.26,Rorey HUNTER,02 FEB 1993,AUS,7,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1121,236.26
523,3:56.27,Lachlan CHISHOLM,04 MAY 1980,AUS,1,Brisbane (AUS),06 MAY 2005,1121,236.27
524,3:56.30,Roscoe DIVINE,03 NOV 1947,USA,1,"Eugene, OR (USA)",05 JUN 1970,1120,236.3
525,3:56.31,Joshua LAY,11 APR 2000,GBR,6,"International Stadium, Gateshead (GBR)",13 JUL 2021,1120,236.31
526,3:56.34,Frank ASSUMMA,03 MAR 1961,USA,4,London (GBR),09 JUN 1982,1120,236.34
526,3:56.34,Charlie DANNATT,07 SEP 1999,CAN,4f2,"Jack Kemp Stadium, Los Angeles, CA (USA)",09 JUL 2022,1120,236.34
528,3:56.35,Paul RUGUT,1962,KEN,6,Koblenz (GER),31 AUG 1983,1120,236.35
528,3:56.35,Cathal DOYLE,12 NOV 1997,IRL,1,"Munster Technological University Track, Cork (IRL)",05 JUL 2022,1120,236.35
530,3:56.36,Bill MCCHESNEY,08 JAN 1959,USA,2,"Eugene, OR (USA)",28 MAY 1981,1120,236.36
530,3:56.36,Enda FITZPATRICK,28 APR 1965,IRL,6,Cork (IRL),09 JUL 1985,1120,236.36
530,3:56.36,Steve MARTIN,16 JUL 1959,GBR,4,Gateshead (GBR),05 AUG 1986,1120,236.36
533,3:56.37,Jukka SAVONHEIMO,20 OCT 1966,FIN,1,Kemi (FIN),03 JUL 1990,1119,236.37
534,3:56.38,Willi WÜLBECK,18 DEC 1954,FRG,4,Stockholm (SWE),03 JUL 1979,1119,236.38
534,3:56.38,Mike MCLEOD,25 JAN 1952,GBR,5,London (GBR),31 AUG 1979,1119,236.38
534,3:56.38,Matt TEGENKAMP,19 JAN 1982,USA,1,"Madison, WI (USA)",06 MAY 2006,1119,236.38
534,3:56.38,Davis BOVE,-,USA,7,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)",11 FEB 2022,1119,236.38
538,3:56.39,Sean DOLAN,-,USA,8,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)",11 FEB 2022,1119,236.39
539,3:56.40,Bob DAY,31 OCT 1944,USA,1,"Bakersfield, CA (USA)",12 JUN 1965,1119,236.4
539,3:56.40,Arne KVALHEIM,25 APR 1945,NOR,1,"Eugene, OR (USA)",06 JUN 1971,1119,236.4
539,3:56.40,Paul CUMMINGS,05 SEP 1953,USA,1,"Tempe, AZ (USA)",16 MAR 1974,1119,236.4
539,3:56.40,Howell MICHAEL,31 AUG 1949,USA,1,"Williamsburg, VA (USA)",11 MAY 1974,1119,236.4
539,3:56.40,Antonio COLON,24 MAR 1953,PUR,1,Ponce (PUR),16 AUG 1975,1119,236.4
544,3:56.41,Jim HILL,01 JUL 1961,USA,1,"Eugene, OR (USA)",15 MAY 1982,1119,236.41
544,3:56.41,Craig MILLER,03 AUG 1987,USA,4,"Walnut, CA (USA)",20 APR 2012,1119,236.41
546,3:56.44,Alex MAIER,-,USA,1f8,"Dempsey Indoor, Seattle, WA (USA)",12 FEB 2022,1119,236.44
547,3:56.45,Tommy SCHMITZ,16 JUL 1983,USA,3,St. Louis (USA),05 JUN 2014,1118,236.45
548,3:56.46,Max SMITH,28 OCT 1984,NZL,2,Brasschaat (BEL),21 JUL 2007,1118,236.46
549,3:56.48,Jim MCKEON,08 SEP 1962,USA,7,London (GBR),11 JUL 1986,1118,236.48
550,3:56.49,Mohammed MOURHIT,10 OCT 1970,MAR,8,Jerez de la Frontera (ESP),17 SEP 1991,1118,236.49
550,3:56.49,Mo FARAH,23 MAR 1983,GBR,1,London (GBR),06 AUG 2005,1118,236.49
552,3:56.50,Siegfried VALENTIN,23 FEB 1936,GDR,1,Potsdam (GDR),28 MAY 1959,1118,236.5
552,3:56.50,John KIRKBRIDE,24 MAR 1947,GBR,4,London (GBR),10 JUN 1972,1118,236.5
552,3:56.50,Paul DAVIES-HALE,21 JUN 1962,GBR,4,Harlow (GBR),20 AUG 1989,1118,236.5
555,3:56.50,Tesfaye CHERU,02 MAR 1993,ETH,7,"Hayward Field, Eugene, OR (USA)",01 JUN 2012,1118,236.5
556,3:56.51,James RANDON,16 JUN 1994,USA,3,"Concord, MA (USA)",13 JUN 2019,1118,236.51
557,3:56.52,Andrew LLOYD,14 FEB 1959,AUS,5,London (GBR),27 MAY 1990,1118,236.52
558,3:56.57,Luke HOUSER,-,USA,2f8,"Dempsey Indoor, Seattle, WA (USA)",12 FEB 2022,1117,236.57
559,3:56.59,Steve FOLEY,21 DEC 1957,AUS,2,Dublin (IRL),10 JUL 1979,1117,236.59
560,3:56.60,Cary WEISIGER,08 SEP 1938,USA,5,Compton (GBR),07 JUN 1963,1117,236.6
560,3:56.60,Walter WILKINSON,02 NOV 1944,GBR,1,Leicester (GBR),31 MAY 1971,1117,236.6
562,3:56.60,David Biwott CHEMWENO,18 DEC 1981,KEN,3,Melbourne (AUS),01 MAR 2001,1117,236.6
562,3:56.60,Adam FOGG,27 JAN 1999,GBR,1f3,"Lied Recreation Center, Ames, IA (USA)",22 JAN 2022,1117,236.6
564,3:56.61,Harri HÄNNINEN,18 OCT 1963,FIN,2,Kemi (FIN),03 JUL 1990,1116,236.61
564,3:56.61,Johan LANDSMAN,12 MAY 1964,RSA,1,Stellenbosch (RSA),25 NOV 1991,1116,236.61
566,3:56.62,Jerry MOTSAU,12 MAR 1990,RSA,5,Dublin (IRL),22 JUL 2016,1116,236.62
566,3:56.62,Narve Gilje NORDÅS,30 SEP 1998,NOR,1f1,"Arna idrettspark, Bergen (NOR)",12 AUG 2020,1116,236.62
568,3:56.63,Mirosław ŻERKOWSKI,20 AUG 1956,POL,2,London (GBR),20 AUG 1982,1116,236.63
569,3:56.65,Paul LARKINS,19 MAY 1963,GBR,3,Birmingham (GBR),17 JUL 1987,1116,236.65
569,3:56.65,Willem MULDNER,22 OCT 1973,RSA,1,Port Elizabeth (RSA),14 FEB 1997,1116,236.65
571,3:56.66,Eric SPEAKMAN,29 AUG 1990,NZL,2,"Cooks Gardens, Wanganui (NZL)",30 JAN 2021,1116,236.66
572,3:56.68,David RIBICH,27 DEC 1995,USA,3,"Falmouth HS James Kalperis Track, Falmouth, MA (USA)",20 AUG 2022,1116,236.68
573,3:56.69,David KIMANI,20 FEB 1977,KEN,3,"Walnut, CA (USA)",22 APR 2001,1115,236.69
574,3:56.70,Sam BAIR,21 MAY 1946,USA,2,"Los Angeles, CA (USA)",07 JUN 1969,1115,236.7
574,3:56.70,Francesco ARESE,13 APR 1944,ITA,2,Berlin (GER),07 SEP 1971,1115,236.7
574,3:56.70,Mike DURKIN,14 APR 1953,USA,2,"Wichita, KS (USA)",31 MAY 1975,1115,236.7
574,3:56.70,James ESPIR,17 OCT 1958,GBR,2,Cwmbran (GBR),15 AUG 1981,1115,236.7
578,3:56.71,Chris MCGEORGE,13 JAN 1962,GBR,3,Cork (IRL),05 JUL 1988,1115,236.71
579,3:56.72,James KARANU,05 JAN 1976,KEN,6,"Portland, OR (USA)",03 JUN 2001,1115,236.72
579,3:56.72,Hamish CARSON,01 NOV 1988,NZL,2,Wanganui (NZL),19 JAN 2016,1115,236.72
579,3:56.72,István SZÖGI,12 SEP 1995,HUN,2,"Munster Technological University Track, Cork (IRL)",05 JUL 2022,1115,236.72
582,3:56.73,Daniel WINN,30 JUL 1991,USA,6,Dublin (IRL),22 JUL 2016,1115,236.73
583,3:56.75,John NGUGI,10 MAY 1962,KEN,1,Monaco (MON),12 AUG 1990,1115,236.75
583,3:56.75,Steve SLATTERY,14 AUG 1980,USA,6,"New York, NY (USA)",03 JUN 2006,1115,236.75
585,3:56.76,Hamid EL MOUAZIZ,17 FEB 1979,MAR,1,Brasschaat (BEL),15 AUG 2001,1115,236.76
586,3:56.77,Mac FLEET,17 OCT 1990,USA,4,"Ann Arbor, MI (USA)",10 AUG 2014,1114,236.77
587,3:56.78,Benson SEUREI,27 MAR 1984,BRN,1,Heidelberg (GER),15 JUN 2013,1114,236.78
587,3:56.78,Waleed SULIMAN,22 SEP 1998,USA,6,"Cardinal Gibbons High School, Raleigh, NC (USA)",06 AUG 2021,1114,236.78
589,3:56.79,Sammy KOSKEI,14 MAY 1961,KEN,2,Köln (GER),22 AUG 1982,1114,236.79
589,3:56.79,James WEST,30 JAN 1996,GBR,13,"Olympic Stadium, London (GBR)",21 JUL 2019,1114,236.79
591,3:56.80,John DAVIES,25 MAY 1938,NZL,2,London (GBR),03 JUL 1965,1114,236.8
592,3:56.80,Dave PATRICK,14 AUG 1946,USA,1,"Philadelphia, PA (USA)",01 JUN 1968,1114,236.8
592,3:56.80,Ian MCCAFFERTY,24 NOV 1944,GBR,1,Reading (GBR),11 JUN 1969,1114,236.8
592,3:56.80,Peter FULLER,28 NOV 1949,AUS,2,Melbourne (AUS),09 JAN 1974,1114,236.8
594,3:56.80,Pietro ARESE,08 OCT 1999,ITA,4f2,"Arena Civica, Milano (ITA)",04 SEP 2021,1114,236.8
596,3:56.81,Jari VENÄLÄINEN,21 AUG 1967,FIN,5,Helsinki (FIN),02 JUL 1987,1114,236.81
597,3:56.82,Jama Mohamed ADEN,28 AUG 1962,SOM,3,Toronto (CAN),19 JUL 1983,1114,236.82
597,3:56.82,John JEFFERSON,30 DEC 1982,USA,2,"Falmouth, MA (USA)",09 AUG 2008,1114,236.82
599,3:56.83,Simon FAIRBROTHER,28 MAR 1968,GBR,4,Gateshead (GBR),17 AUG 1990,1114,236.82999999999998
599,3:56.83,Bill BURKE,15 OCT 1969,USA,2,"Eugene, OR (USA)",05 JUN 1993,1114,236.82999999999998
601,3:56.84,Eliud NJUBI,27 JUL 1979,KEN,1,"Philadelphia, PA (USA)",28 APR 2001,1114,236.84
602,3:56.86,Drew PIAZZA,28 JAN 1995,USA,1,"Concord, MA (USA)",07 JUN 2018,1113,236.86
602,3:56.86,Henry WYNNE,18 APR 1995,USA,3,Dublin (IRL),19 JUL 2018,1113,236.86
604,3:56.89,Luc BERNAERT,24 JUN 1966,BEL,9,Bruxelles (BEL),03 SEP 1993,1113,236.89
604,3:56.89,Jordan WILLIAMSZ,21 AUG 1992,AUS,6,"Alexander Stadium, Birmingham (GBR)",20 AUG 2017,1113,236.89
606,3:56.90,Thomas O'HARA,05 JUL 1942,USA,2,St. Louis (USA),22 JUN 1963,1113,236.9
606,3:56.90,Tom VON RUDEN,22 AUG 1944,USA,4,"Bakersfield, CA (USA)",23 JUN 1967,1113,236.9
606,3:56.90,Chuck LABENZ,06 DEC 1948,USA,1,"Berkeley, CA (USA)",30 MAY 1970,1113,236.9
606,3:56.90,Charlie MCMULLEN,23 JUN 1951,USA,1,"Boston, MA (USA)",20 JUL 1974,1113,236.9
606,3:56.90,Ron SPEIRS,18 MAY 1952,GBR,4,"Philadelphia, PA (USA)",30 APR 1977,1113,236.9
606,3:56.90,Larry MANGAN,24 MAR 1959,USA,4,Toronto (CAN),19 JUL 1983,1113,236.9
612,3:56.90,Mick STANOVSEK,16 JAN 1997,USA,4,Dublin (IRL),19 JUL 2018,1113,236.9
613,3:56.92,Charlie GRUBER,06 AUG 1978,USA,7,"Eugene, OR (USA)",04 JUN 2005,1113,236.92000000000002
614,3:56.93,Luke MCCANN,12 MAR 1998,IRL,8,"International Stadium, Gateshead (GBR)",13 JUL 2021,1112,236.93
615,3:56.95,Sean CAHILL,04 MAR 1958,GBR,7,London (GBR),31 AUG 1979,1112,236.95
615,3:56.95,David CLARKE,1958,GBR,2,London (GBR),17 JUL 1982,1112,236.95
617,3:56.96,Niall O'SHAUGHNESSY,23 NOV 1955,IRL,2,"Wichita, KS (USA)",29 MAY 1976,1112,236.96
617,3:56.96,David BISHOP,09 MAY 1987,GBR,7,Dublin (IRL),11 JUL 2014,1112,236.96
619,3:56.97,David TAYLOR,09 JAN 1964,GBR,7,Cork (IRL),08 JUL 1986,1112,236.97
619,3:56.97,John Thuo ITATI,26 DEC 1973,KEN,2,"San Francisco, CA (USA)",15 SEP 2002,1112,236.97
619,3:56.97,Luke KIPKOSGEI,27 NOV 1975,KEN,4,Victoria (CAN),11 JUN 2003,1112,236.97
622,3:56.99,Alan SALTER,22 APR 1960,GBR,7,Cork (IRL),09 JUL 1985,1112,236.99
622,3:56.99,Kurt BENNINGER,01 JAN 1985,CAN,3,"Falmouth, MA (USA)",09 AUG 2008,1112,236.99
622,3:56.99,Callum DAVIES,18 JUL 1999,AUS,3,"Munster Technological University Track, Cork (IRL)",05 JUL 2022,1112,236.99
625,3:57.00,Tony POLHILL,15 DEC 1947,NZL,1,London (GBR),15 SEP 1972,1112,237.0
625,3:57.00,Ken POPEJOY,09 DEC 1950,USA,1,"East Lansing, MI (USA)",05 MAY 1973,1112,237.0
627,3:57.00,Mahmoud KALBOUSSI,09 FEB 1965,TUN,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",12 JUL 1990,1112,237.0
627,3:57.00,Johan BOTHA,10 JAN 1974,RSA,1,Stellenbosch (RSA),16 FEB 1996,1112,237.0
627,3:57.00,Seán TOBIN,20 JUL 1994,IRL,3,Cork (IRL),18 JUL 2017,1112,237.0
627,3:57.00,Zachary STALLINGS,-,USA,3f8,"Dempsey Indoor, Seattle, WA (USA)",12 FEB 2022,1112,237.0
631,3:57.01,Michael KIBET,03 SEP 1999,KEN,2,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1111,237.01
632,3:57.02,Ciaran Ó LIONÁIRD,11 APR 1988,IRL,6,Dublin (IRL),25 JUL 2012,1111,237.02
632,3:57.02,Chad NOELLE,12 APR 1993,USA,8f1,"Concord, MA (USA)",01 JUN 2017,1111,237.02
632,3:57.02,Sam ELLIS,-,USA,3f1,"Dempsey Indoor, Seattle, WA (USA)",15 JAN 2022,1111,237.02
635,3:57.03,Mohamed ISSANGAR,12 DEC 1964,MAR,3,Monaco (MON),12 AUG 1990,1111,237.03
636,3:57.04,Rudy CHAPA,07 NOV 1957,USA,3,"Eugene, OR (USA)",28 MAY 1981,1111,237.04
636,3:57.04,Duncan MILLER,30 JAN 2000,AUS,4f1,"Dempsey Indoor, Seattle, WA (USA)",15 JAN 2022,1111,237.04
638,3:57.05,Sam MCENTEE,03 FEB 1992,AUS,3,Cork (IRL),16 JUL 2018,1111,237.05
639,3:57.07,Neil OVINGTON,26 JAN 1963,GBR,9,London (GBR),11 JUL 1986,1111,237.07
639,3:57.07,Jonathon RILEY,29 DEC 1978,USA,1,"Falmouth, MA (USA)",11 AUG 2007,1111,237.07
639,3:57.07,Jacob THOMSON,29 NOV 1994,USA,12,"Raleigh, NC (USA)",03 AUG 2018,1111,237.07
639,3:57.07,Ala ZOGHLAMI,19 JUN 1994,ITA,3f12,"Arena Civica, Milano (ITA)",11 JUN 2022,1111,237.07
643,3:57.08,Rob NAPOLITANO,03 NOV 1994,USA,4,"Concord, MA (USA)",13 JUN 2019,1111,237.07999999999998
644,3:57.09,Eric JENKINS,24 NOV 1991,USA,1f2,"Eugene, OR (USA)",08 MAY 2015,1110,237.09
645,3:57.12,Holt HARDY,09 OCT 1972,AUS,4,Melbourne (AUS),25 FEB 1998,1110,237.12
646,3:57.13,Pekka VASALA,17 APR 1948,FIN,4,Stockholm (SWE),01 JUL 1974,1110,237.13
646,3:57.13,Mike MILLER,19 JAN 1974,USA,1,"Eugene, OR (USA)",12 MAY 2001,1110,237.13
648,3:57.14,Pavel YAKOVLEV,16 JAN 1958,URS,2,Bruxelles (BEL),30 AUG 1985,1110,237.14
648,3:57.14,Mohammed AMAN,10 JAN 1994,ETH,8,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1110,237.14
650,3:57.15,Gary TAYLOR,01 JUN 1963,GBR,4,Cork (IRL),05 JUL 1988,1110,237.15
650,3:57.15,Abdellah ABDELHAQ,13 AUG 1968,MAR,8,Sheffield (GBR),25 AUG 1996,1110,237.15
650,3:57.15,Robby ANDREWS,29 MAR 1991,USA,1f2,"Concord, MA (USA)",04 JUN 2015,1110,237.15
653,3:57.16,Ruben SØRENSEN,1954,DEN,3,London (GBR),14 SEP 1979,1110,237.16
653,3:57.16,Mark DAILEY,11 DEC 1968,USA,12,Oslo (NOR),10 JUL 1993,1110,237.16
653,3:57.16,Matt ELLIOTT,08 SEP 1985,USA,1f1,"Murfreesboro, TN (USA)",01 JUN 2013,1110,237.16
653,3:57.16,Eduardo HERRERA,23 SEP 1997,USA,1f2,"Dempsey Indoor, Seattle, WA (USA)",26 FEB 2022,1110,237.16
657,3:57.18,Haico SCHARN,18 JUN 1945,NED,4,Zürich (SUI),16 AUG 1974,1109,237.18
